hs6,hs4,hs2,tier,exposed
854231,8542,85,1,TRUE
854232,8542,85,1,TRUE
854233,8542,85,1,TRUE
854239,8542,85,1,TRUE
851762,8517,85,2,TRUE
852691,8526,85,2,TRUE
853221,8532,85,2,TRUE
853224,8532,85,2,TRUE
854800,8548,85,2,TRUE
847150,8471,84,3A,TRUE
850440,8504,85,3A,TRUE
851769,8517,85,3A,TRUE
852589,8525,85,3A,TRUE
852910,8529,85,3A,TRUE
852990,8529,85,3A,TRUE
853669,8536,85,3A,TRUE
853690,8536,85,3A,TRUE
854110,8541,85,3A,TRUE
854121,8541,85,3A,TRUE
854129,8541,85,3A,TRUE
854130,8541,85,3A,TRUE
854149,8541,85,3A,TRUE
854151,8541,85,3A,TRUE
854159,8541,85,3A,TRUE
854160,8541,85,3A,TRUE
848210,8482,84,3B,TRUE
848220,8482,84,3B,TRUE
848230,8482,84,3B,TRUE
848250,8482,84,3B,TRUE
880730,8807,88,3B,TRUE
901310,9013,90,3B,TRUE
901380,9013,90,3B,TRUE
901420,9014,90,3B,TRUE
901480,9014,90,3B,TRUE
847180,8471,84,4A,TRUE
848610,8486,84,4A,TRUE
848620,8486,84,4A,TRUE
848640,8486,84,4A,TRUE
853400,8534,85,4A,TRUE
854320,8543,85,4A,TRUE
902750,9027,90,4A,TRUE
903020,9030,90,4A,TRUE
903032,9030,90,4A,TRUE
903039,9030,90,4A,TRUE
903082,9030,90,4A,TRUE
845710,8457,84,4B,TRUE
845811,8458,84,4B,TRUE
845891,8458,84,4B,TRUE
845961,8459,84,4B,TRUE
846693,8466,84,4B,TRUE
220300,2203,22,control,FALSE
190590,1905,19,control,FALSE
210390,2103,21,control,FALSE
090111,0901,09,control,FALSE
170490,1704,17,control,FALSE
610910,6109,61,control,FALSE
620342,6203,62,control,FALSE
640399,6403,64,control,FALSE
611020,6110,61,control,FALSE
630260,6302,63,control,FALSE
940360,9403,94,control,FALSE
691110,6911,69,control,FALSE
392490,3924,39,control,FALSE
950300,9503,95,control,FALSE
961900,9619,96,control,FALSE
330499,3304,33,control,FALSE
340111,3401,34,control,FALSE
330300,3303,33,control,FALSE
210690,2106,21,control,FALSE
480256,4802,48,control,FALSE
401110,4011,40,control,FALSE
870899,8708,87,control,FALSE
732690,7326,73,control,FALSE
841810,8418,84,control,FALSE
392321,3923,39,control,FALSE
