dataset,prodgrp,partner,year,flow,value_meur,treated_partner
ext_lt_mainagri,SITC0_1_food,AM,2010,eu_export,66.5,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2011,eu_export,78.9,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2012,eu_export,87,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2013,eu_export,86,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2014,eu_export,82.8,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2015,eu_export,76.9,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2016,eu_export,66.2,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2017,eu_export,86,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2018,eu_export,82.3,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2019,eu_export,78.8,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2020,eu_export,71.9,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2021,eu_export,83.1,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2022,eu_export,170.4,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2023,eu_export,178.3,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2024,eu_export,182.7,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2025,eu_export,214,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2010,eu_import,5.5,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2011,eu_import,5.6,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2012,eu_import,6.2,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2013,eu_import,6.3,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2014,eu_import,7.9,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2015,eu_import,9,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2016,eu_import,9.2,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2017,eu_import,10.9,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2018,eu_import,10.3,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2019,eu_import,13.6,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2020,eu_import,15,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2021,eu_import,18.8,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2022,eu_import,18.6,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2023,eu_import,20.1,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2024,eu_import,21.8,TRUE
ext_lt_mainagri,SITC0_1_food,AM,2025,eu_import,25,TRUE
ext_lt_mainagri,SITC0_1_food,AZ,2010,eu_export,164.6,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2011,eu_export,185.6,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2012,eu_export,216.6,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2013,eu_export,219.6,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2014,eu_export,235.6,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2015,eu_export,199.4,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2016,eu_export,126.3,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2017,eu_export,139.1,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2018,eu_export,137,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2019,eu_export,147,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2020,eu_export,132.3,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2021,eu_export,140.4,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2022,eu_export,185,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2023,eu_export,205.2,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2024,eu_export,204.5,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2025,eu_export,213.8,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2010,eu_import,17.4,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2011,eu_import,25.5,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2012,eu_import,13.8,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2013,eu_import,24.5,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2014,eu_import,36.3,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2015,eu_import,65.1,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2016,eu_import,57,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2017,eu_import,56.4,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2018,eu_import,49.4,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2019,eu_import,60.2,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2020,eu_import,51.7,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2021,eu_import,46.9,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2022,eu_import,63.4,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2023,eu_import,55.3,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2024,eu_import,63.8,FALSE
ext_lt_mainagri,SITC0_1_food,AZ,2025,eu_import,76.5,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2010,eu_export,770,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2011,eu_export,854.5,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2012,eu_export,987.8,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2013,eu_export,1018.8,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2014,eu_export,1122.3,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2015,eu_export,1098,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2016,eu_export,1094.3,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2017,eu_export,1177.8,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2018,eu_export,1177.5,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2019,eu_export,1305.9,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2020,eu_export,1226,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2021,eu_export,1303.2,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2022,eu_export,1659.4,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2023,eu_export,1875.3,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2024,eu_export,1929.4,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2025,eu_export,1942.1,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2010,eu_import,8649.5,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2011,eu_import,10684.6,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2012,eu_import,10550.8,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2013,eu_import,9843.7,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2014,eu_import,9455.8,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2015,eu_import,9677.3,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2016,eu_import,8758.2,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2017,eu_import,8870.7,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2018,eu_import,8786.2,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2019,eu_import,8772.7,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2020,eu_import,8283.8,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2021,eu_import,9246.5,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2022,eu_import,15053.5,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2023,eu_import,13524.9,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2024,eu_import,13842.1,FALSE
ext_lt_mainagri,SITC0_1_food,BR,2025,eu_import,15427,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2010,eu_export,1215.8,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2011,eu_export,1117.7,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2012,eu_export,1373.4,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2013,eu_export,1307.5,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2014,eu_export,1760.3,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2015,eu_export,1979.2,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2016,eu_export,1551.3,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2017,eu_export,1185,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2018,eu_export,1340.3,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2019,eu_export,1764.7,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2020,eu_export,1590.5,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2021,eu_export,1957,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2022,eu_export,2624.7,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2023,eu_export,1748.2,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2024,eu_export,1746.9,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2025,eu_export,1866.2,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2010,eu_import,392.9,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2011,eu_import,452.6,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2012,eu_import,428.2,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2013,eu_import,509.5,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2014,eu_import,508.2,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2015,eu_import,565.4,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2016,eu_import,619.1,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2017,eu_import,711.6,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2018,eu_import,729.7,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2019,eu_import,912.5,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2020,eu_import,892.7,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2021,eu_import,995.3,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2022,eu_import,1116.5,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2023,eu_import,1653.5,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2024,eu_import,1978.3,FALSE
ext_lt_mainagri,SITC0_1_food,EG,2025,eu_import,2112.7,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2010,eu_export,94.3,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2011,eu_export,115,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2012,eu_export,135.1,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2013,eu_export,139.1,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2014,eu_export,179.9,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2015,eu_export,200.9,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2016,eu_export,187.8,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2017,eu_export,222.5,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2018,eu_export,222.7,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2019,eu_export,234.5,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2020,eu_export,190.9,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2021,eu_export,223,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2022,eu_export,357.9,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2023,eu_export,458.1,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2024,eu_export,568.5,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2025,eu_export,616.5,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2010,eu_import,52.2,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2011,eu_import,85,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2012,eu_import,84.1,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2013,eu_import,117.9,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2014,eu_import,147.3,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2015,eu_import,177.4,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2016,eu_import,175.6,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2017,eu_import,112.8,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2018,eu_import,111.1,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2019,eu_import,102.8,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2020,eu_import,131.7,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2021,eu_import,144.7,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2022,eu_import,150.2,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2023,eu_import,145.6,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2024,eu_import,147.5,FALSE
ext_lt_mainagri,SITC0_1_food,GE,2025,eu_import,195.7,FALSE
ext_lt_mainagri,SITC0_1_food,IN,2010,eu_export,166.6,FALSE
ext_lt_mainagri,SITC0_1_food,IN,2011,eu_export,236.7,FALSE
ext_lt_mainagri,SITC0_1_food,IN,2012,eu_export,211.5,FALSE
ext_lt_mainagri,SITC0_1_food,IN,2013,eu_export,193.5,FALSE
