iso2c,iso3c,country,year,cab,reserves,services_va,gdp_usd,gdp_growth
KZ,KAZ,Kazakhstan,2015,-9979526910.93887,27854795818.7629,109337950058.011,184388404706.042,1.20000000053288
KZ,KAZ,Kazakhstan,2016,-6964562246.29256,29603056785.2248,79425714870.2361,137278320084.171,1.09999999910173
KZ,KAZ,Kazakhstan,2017,-3426686675.19474,30746770568.3835,95587081639.3113,166805788827.233,4.10000000257358
KZ,KAZ,Kazakhstan,2018,-1765748482.73,30976612438.5176,99452504477.9268,179339977690.485,4.09999999309841
KZ,KAZ,Kazakhstan,2019,-7027653497.39316,28957509931.0023,100876619352.657,181667184854.501,4.50000000091883
KZ,KAZ,Kazakhstan,2020,-11055035521.7233,35638096635.119,95981964867.6864,171082365861.423,-2.49999999628
KZ,KAZ,Kazakhstan,2021,-2679458682.64461,34377998805.6455,106281660689.234,197112255360.612,4.29999999729456
KZ,KAZ,Kazakhstan,2022,6436402618.02246,35076053023.0673,118710103984.44,225496328925.494,3.19999999970734
KZ,KAZ,Kazakhstan,2023,-8284350473.015,35964591353.82,147532413709.951,261840101059.923,5.09999999973641
KZ,KAZ,Kazakhstan,2024,-6763937401.93478,45807523139.2563,168891824826.079,291480274648.826,4.99999999996936
KZ,KAZ,Kazakhstan,2025,-12451045194.3793,66068640110.4733,176706267333.289,306239209650.024,6.5
